qSpecies,count,avgDBH
:: Tree,5,3
Abutilon hybridum :: Flowering maple,1,1
Acacia baileyana 'Purpurea' :: Purple-leaf Acacia,11,5.545454545
Acacia baileyana :: Bailey's Acacia,124,7.540322581
Acacia cognata :: River Wattle,8,7.625
Acacia cyclops :: Cyclops wattle,2,4.5
Acacia dealbata :: Silver Wattle,1,4
Acacia decurrens :: Acacia: Silver Wattle,7,12.42857143
Acacia longifolia :: Golden Wattle,37,13.67567568
Acacia melanoxylon :: Blackwood Acacia,820,15.85853659
Acacia spp :: Acacia Spp,12,15.25
Acacia stenophylla :: Shoestring Acacia,78,3.08974359
Acca sellowiana :: Pineapple Guava Tree,2,5.5
Acer buergeranum :: Trident Maple,89,3.471910112
Acer circinatum :: Vine Maple,2,4
Acer japonicum :: Japanese Maple,1,11
Acer macrophyllum :: Big Leaf Maple,7,12.42857143
Acer negundo :: Box Elder,1,3
Acer palmatum 'Bloodgood' :: Bloodgood Japanese Maple,7,3.285714286
Acer palmatum :: Japanese Maple,101,5.03960396
Acer rubrum 'Armstrong' :: Armstrong Red Maple,18,4.166666667
Acer rubrum 'Autumn Glory' :: Red Maple Tree 'Autumn Glory',1,3
Acer rubrum 'October Glory' :: Red October Glory Maple,7,3
Acer rubrum 'Red Sunset' :: Red Swamp Maple,30,3.166666667
Acer rubrum :: Red Maple,186,3.403225806
Acer saccharinum :: Silver Maple,26,9.5
Acer spp :: Maple,8,8.5
Acer x 'Autumn Blaze' :: Hybrid Maple,1,3
Acer x freemanii :: Freeman Maple,47,4.29787234
Aesculus californica :: California Buckeye,21,6.380952381
Aesculus hippocastanum :: White Horsechestnut,2,14.5
Aesculus x carnea 'Briotii' :: Ruby Horse Chestnut,8,4.5
Aesculus x carnea 'O'Neill' :: O'Neill Red Horse Chestnut,1,4
Aesculus x carnea :: Red Horse Chestnut,18,8.611111111
Afrocarpus gracilior :: Fern Pine,109,6.155963303
Agonis flexuosa 'After Dark' :: Peppermint willow 'After Dark',41,3.146341463
Agonis flexuosa :: Peppermint Willow,199,10.13567839
Ailanthus altissima :: Tree Of Heaven,1,5
Albizia distachya :: Plume Albizia Tree,3,8
Albizia julibrissin :: Mimosa Silk Tree,11,4.545454545
Alnus cordata :: Italian Alder,4,11.5
Alnus rhombifolia :: White Alder,11,7.272727273
Aloe barberae :: Tree aloe,2,7
Angohpora spp. :: Angophora species,1,4
Araucaria araucana :: Monkey puzzle,3,2.333333333
Araucaria columnaris :: Coral reef araucaria,11,9.090909091
Araucaria heterophylla :: Norfolk Island Pine,13,5.769230769
Arbutus 'Marina' :: Hybrid Strawberry Tree,1063,5.816556914
Arbutus unedo 'Compacta' :: Dwarf strawberry tree,1,3
Arbutus unedo :: Strawberry Tree,137,7.306569343
Archontophoenix cunninghamiana :: King Palm,9,7.888888889
Archontophoenix myolensis :: Myola palm,1,12
Arctostaphylos manzanita 'Dr Hurd' :: Dr. Hurd Manzanita,1,3
Arecastrum romanzoffianum :: Queen Palm,7,12.42857143
Auranticarpa rhombifolia :: Queensland Pittosporum,1,17
Azara microphylla :: Little-Leaf Azara,2,4
Bambusa spp :: Bamboo Species,6,7.333333333
Banksia integrifolia :: Coast Banksia,5,3
Betula nigra :: River Birch,3,9
Betula pendula :: European White Birch,30,8.433333333
Betula spp :: Birch,13,5.076923077
Brachychiton acerifolius :: Australian Flame Tree,1,6
Brachychiton populneus :: Bottle Tree,4,11.25
Brahea edulis :: Guadalupe Palm,30,19.43333333
Brugmansia spp :: Angel trumpet,24,8.958333333
Butia capitata :: Pindo Palm,1,23
Callistemon 'Jeffers' :: Purple bottlebrush,1,6
Callistemon citrinus :: Lemon Bottlebrush,685,9.010218978
Callistemon salignus :: White flowering bottlebrush,1,10
Callistemon viminalis :: Weeping Bottlebrush,172,7.75
Calocedrus decurrens :: Incense Cedar,14,15.07142857
Carpinus betulus :: European Hornbeam,10,6.6
Caryota maxima 'Himalaya' :: Himalayan Fishtail Palm,1,14
Cassia excelsa :: Crown of Gold Tree,1,3
Cassia leptophylla :: Gold Medallion Tree,16,4.25
Casuarina cunninghamiana :: Horsetail pine,12,7.833333333
Casurina stricta :: Beefwood: Drooping She-Oak,2,21.5
Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman',52,4.711538462
Ceanothus Sps :: California lilac,39,5.846153846
Cedrela fissilis :: Argentine cedar,1,1
Cedrus atlantica :: Atlas Cedar,9,10.33333333
Cedrus deodara :: Deodar Cedar,26,11.65384615
Cedrus libani :: Lebanon cedar,1,6
Ceiba speciosa :: Silk floss,27,4.777777778
Celtis australis :: European Hackberry,4,4.75
Celtis occidentalis :: Common Hackberry,7,8.857142857
Celtis sinensis :: Chinese Hackberry,36,8.388888889
Ceratonia siliqua :: Carob,171,11.39766082
Cercis canadensis 'Forest Pansy' :: Forest Pansy Redbud,3,2.666666667
Cercis canadensis :: Eastern Redbud,10,2.8
Cercis occidentalis :: Western Redbud,23,4.260869565
Cercocarpus betuloides :: Mountain mahogany,1,24
Chamaecyparis obtusa :: Hinoki cypress,1,12
Chamaecyparis species ::,1,10
Chamaerops humilis :: Mediterranean Fan Palm,53,10.16981132
Chiranthodendron pentadactylon :: Monkey Hand Tree,1,19
Chitalpa tashkentensis ::,4,4.5
Cinnamomum camphora :: Camphor Tree,28,9.285714286
Citrus × limon 'Lisbon' :: Lisbon Lemon Tree,1,10
Citrus × meyeri 'Improved' :: Improved Meyer Lemon,1,3
Citrus aurantifolia 'Bearss' :: Seedless Lime,4,4.25
